AGE,Monthly Gross Income,Relationship Status,"Ownership of vehicle (car, jeep)",Length of service/Buisness,CIB Clearence,Occupation,Gender,Loan Amount,Number of dependent,Loan Status
56,93484,0,1,1,0,0,0,396764,2,0
46,83309,0,1,8,1,0,1,861387,6,0
32,60927,1,1,8,1,0,0,218818,4,1
60,57946,0,1,25,0,0,0,225803,6,0
25,141503,1,0,6,0,0,0,541690,5,1
38,68592,1,0,17,0,0,0,110623,7,0
56,48776,1,0,19,0,1,0,185504,4,0
36,149855,1,1,1,0,0,0,103809,5,0
40,70798,0,0,15,1,1,0,223690,2,1
28,85204,1,0,13,1,0,0,717195,7,0
28,101207,1,0,21,1,0,1,806406,1,0
41,115356,0,0,3,1,0,0,209502,5,1
53,75652,0,0,2,1,0,0,424640,1,0
57,144572,0,0,3,0,1,0,335614,5,0
41,35922,1,1,9,0,1,0,787099,7,0
20,91996,0,1,16,1,0,1,304396,4,1
39,45266,1,1,24,0,1,0,876221,1,0
19,17866,1,0,13,0,0,1,860073,7,0
41,127669,0,1,19,1,1,1,265910,5,1
47,20898,0,1,18,1,0,1,759494,6,0
55,33395,0,0,21,1,1,1,284492,5,0
19,19006,0,1,12,0,1,0,391575,1,0
38,25956,0,0,12,1,1,1,351770,6,0
50,110676,0,1,1,1,0,1,300092,7,1
29,136724,1,0,20,0,1,0,673853,5,0
39,77901,1,0,8,0,0,1,550209,1,0
42,122227,0,1,17,1,1,1,551251,2,0
44,132192,1,0,21,0,0,1,602374,3,0
59,46417,1,1,20,1,0,1,409456,2,0
45,103020,1,0,22,0,0,0,210613,1,1
33,98639,1,1,7,1,1,1,925348,4,0
32,109881,1,1,9,0,1,0,586026,4,0
20,147659,1,0,17,0,0,0,776053,3,0
54,136688,0,1,10,0,0,0,793919,1,0
24,130584,0,1,4,1,0,1,969271,6,0
38,101567,0,1,22,1,1,1,412202,5,0
26,90886,1,0,7,1,1,0,840490,2,0
56,44432,0,0,7,0,1,0,619824,6,0
35,87373,0,1,8,0,1,0,839999,7,0
21,35884,0,1,24,0,1,0,573754,2,0
42,20454,1,0,24,1,0,0,563647,3,0
31,89960,0,0,8,0,0,0,667612,3,0
26,117421,1,1,16,1,0,1,714975,7,0
43,58618,0,0,12,1,0,1,568671,3,0
19,62111,0,0,15,1,1,1,275259,7,0
37,135592,0,1,8,1,1,0,580679,6,0
45,74993,1,0,22,1,0,1,652435,6,0
24,143652,1,0,9,0,1,0,702202,3,0
25,93672,1,0,3,0,0,0,595245,6,0
52,81125,1,1,22,0,1,1,580297,3,0
31,132509,1,0,21,0,1,0,883096,6,0
34,76602,0,1,16,0,0,1,603078,3,0
53,57222,0,0,15,0,0,1,440737,5,0
57,64223,1,0,24,1,0,1,494576,5,0
21,80333,1,1,4,0,1,0,626336,7,0
19,137650,0,1,20,1,1,0,532236,2,1
23,64420,1,1,16,1,1,0,143935,7,1
59,90504,0,1,10,1,0,1,777842,2,0
21,17462,1,0,11,1,0,0,742172,7,0
46,24460,0,1,5,1,0,1,977631,3,0
35,114319,1,1,11,0,1,0,788333,2,0
43,144593,1,1,13,0,1,1,734270,6,0
51,137672,0,0,15,0,0,1,508401,3,1
27,87920,0,0,6,1,0,0,680173,5,0
53,37553,1,1,16,0,0,0,904493,4,0
31,59036,1,1,15,0,1,1,701303,5,0
48,85021,0,1,11,1,1,1,733796,1,0
32,122205,1,1,20,1,0,0,741988,5,0
25,103209,0,0,2,0,0,1,799957,1,0
31,90139,0,1,2,1,0,0,241964,2,1
40,20368,1,0,12,1,1,0,386075,5,0
57,73829,0,1,16,1,1,1,200175,4,1
38,144036,0,1,19,0,1,0,911086,6,0
33,29719,1,0,2,1,0,1,188478,5,0
35,44227,0,1,17,1,0,0,289892,6,0
41,124430,0,1,14,1,0,1,883508,5,0
43,27306,0,1,24,1,0,0,153886,5,0
42,68822,0,1,16,1,0,0,482621,6,0
58,39042,1,0,5,0,0,1,958902,6,0
46,104424,0,1,10,0,0,0,588485,3,0
32,33019,1,1,17,1,0,1,840508,5,0
18,90426,0,0,13,1,0,1,593855,5,0
42,55863,1,1,16,0,0,1,590607,4,0
24,126023,0,0,9,0,0,1,986461,6,0
26,61999,1,1,24,1,1,1,305914,6,0
41,77780,0,1,4,1,0,0,335361,1,0
18,37908,0,1,24,0,0,0,951756,1,0
25,141278,0,0,16,1,1,0,991952,6,0
41,128002,0,0,23,1,0,0,165027,4,1
28,115706,1,1,11,0,1,0,101425,2,1
34,137019,1,0,7,0,1,0,232805,5,1
25,124708,0,1,17,0,0,0,800735,2,0
52,24343,1,0,22,0,0,1,688699,4,0
52,91173,0,1,13,1,1,1,897035,2,0
50,115260,0,0,4,1,0,1,898584,1,0
22,84443,1,1,14,1,0,0,418462,3,0
59,72530,1,0,10,1,0,1,588189,2,0
56,111143,1,0,10,0,1,0,323543,3,1
58,129527,0,0,10,0,1,0,208051,2,1
45,126362,0,0,12,1,0,0,907500,4,0
24,43807,1,1,2,1,0,1,899963,3,0
26,74550,0,1,23,1,1,1,998721,2,0
25,18558,1,0,9,0,1,1,920720,4,0
29,65113,1,1,5,0,0,0,200694,7,0
51,67999,1,0,8,0,0,0,322089,7,0
50,73219,1,1,21,1,0,0,453906,6,0
40,68218,1,0,14,1,1,0,559869,7,0
41,34229,1,1,7,1,1,1,722485,1,0
54,90209,0,1,7,0,0,1,533284,5,0
52,42877,0,0,9,1,1,1,863380,4,0
57,112137,1,0,3,0,0,1,767819,4,0
39,53084,1,0,14,1,0,0,842001,1,0
44,96780,1,0,17,1,0,0,204445,3,1
52,52034,0,0,18,0,0,1,578216,2,0
18,70468,1,1,12,0,0,0,525770,3,0
52,25589,1,0,22,1,1,0,206243,4,0
54,72221,1,1,14,0,1,1,694601,6,0
31,16657,0,0,13,0,0,1,883680,7,0
20,113300,1,1,14,0,1,0,877313,2,0
18,132229,0,1,9,0,0,1,308040,7,1
22,54531,0,0,19,0,1,1,489430,7,0
43,67227,1,0,2,1,1,1,890233,5,0
31,18164,0,1,11,1,1,1,434737,7,0
56,108078,0,1,17,1,1,1,519727,5,0
44,56247,0,0,2,1,0,1,304118,2,0
26,65599,1,1,19,0,1,1,960067,4,0
32,83207,0,1,7,1,1,1,180729,6,1
32,87055,1,1,18,0,1,1,417377,1,0
43,117266,1,1,13,1,1,0,382155,7,1
59,93270,1,1,5,1,1,1,294035,6,0
30,126426,0,1,18,0,1,1,411044,7,1
49,149794,1,0,23,1,1,1,619805,7,0
56,85442,0,0,24,1,1,0,875427,3,0
49,110632,0,0,24,1,0,1,807054,6,0
21,36438,0,0,16,1,0,1,180085,6,0
47,73819,0,1,15,1,0,0,500176,3,0
54,58856,1,0,8,1,1,0,116583,1,1
40,56938,1,1,15,1,0,1,754571,1,0
56,74807,0,1,25,0,0,0,958964,5,0
32,64877,1,0,1,1,0,0,315175,7,0
60,58461,1,0,17,1,1,0,376345,1,0
46,108474,1,1,15,1,0,0,301651,2,1
53,98136,0,0,14,1,0,0,946451,5,0
30,35435,1,0,14,1,0,1,906852,4,0
49,99726,0,1,10,1,0,0,612916,5,0
24,69786,1,1,2,0,0,1,664890,7,0
39,28704,0,1,6,1,0,1,545861,6,0
45,71635,0,1,17,1,0,1,808484,6,0
19,148195,0,1,5,0,1,0,200156,5,0
59,105710,1,1,5,0,0,1,411175,3,0
23,77993,0,0,15,1,0,0,899061,7,0
45,127752,1,0,15,1,1,1,550947,1,0
45,147886,0,0,20,1,1,1,128675,6,1
37,93537,1,1,11,0,1,1,489796,6,0
47,65258,0,1,5,0,1,0,757022,2,0
28,100166,1,0,1,1,1,1,442414,7,0
45,128710,0,0,11,1,0,0,631877,1,0
42,50699,0,0,11,0,0,0,995386,7,0
56,61335,0,1,6,0,0,0,542580,6,0
50,61806,1,0,23,0,1,1,104655,3,0
18,92853,0,0,8,0,0,1,960717,6,0
44,50739,0,0,2,1,0,1,241869,1,0
30,49785,0,1,15,0,1,1,611023,2,0
58,100016,0,0,23,0,1,0,328538,1,1
20,147681,1,0,22,1,0,1,630933,7,0
56,81253,0,1,9,0,1,0,479523,7,0
23,106128,0,1,15,1,0,0,409778,3,1
25,142581,1,1,8,0,1,1,252504,2,1
44,125966,1,1,16,1,0,1,575610,1,0
26,114352,1,1,14,0,0,0,566985,3,0
54,92154,0,0,15,1,0,0,798971,3,0
50,123297,1,0,20,1,1,1,661048,5,0
59,53346,1,1,13,0,1,1,849337,6,0
41,127138,1,1,9,1,1,1,652521,7,0
32,65772,0,1,1,1,1,0,530807,2,0
49,55149,0,1,6,0,0,0,857181,2,0
49,101700,0,0,8,1,0,1,298876,6,1
41,111758,1,0,20,1,0,0,869670,7,0
58,143447,0,1,18,0,0,0,412235,7,1
29,20695,1,1,18,0,1,0,235510,1,0
56,54169,1,1,17,1,1,0,865165,5,0
19,62947,1,1,21,1,1,1,466746,2,0
20,60865,0,0,16,1,1,0,447049,3,0
54,119501,1,1,13,1,0,1,276968,2,1
34,75410,1,1,22,1,1,1,454283,5,0
19,118754,0,0,4,0,1,0,635607,6,0
19,105895,1,1,4,1,1,1,966690,4,0
45,65705,1,0,21,0,0,1,465437,6,0
40,130700,1,1,14,0,0,1,499244,3,1
54,88914,0,1,5,0,0,0,623973,2,0
49,16881,1,0,16,0,1,1,736218,6,0
50,62365,0,1,14,1,0,0,734917,3,0
